year,month,violent_count,violent_change,murder_count,murder_change,rape_count,rape_change,robbery_count,robbery_change,assault_count,assault_change,property_count,property_change,burglary_count,burglary_change,theft_count,theft_change,motor_count,motor_change
2026,5,4185,10.4,26,23.8,170,-11,1180,9.8,2809,12.2,5632,0.2,903,2.3,3656,-2.9,1073,10.6
2026,4,3791,0.7,21,-12.5,191,-1,1075,5.3,2504,-0.9,5619,-2.3,883,-3.4,3766,-0.7,970,-7.4
2026,3,3766,20,24,33.3,193,14.9,1021,9.2,2528,25.3,5753,21.4,914,10,3792,21.8,1047,32
2026,2,3138,-6.7,18,12.5,168,-1.2,935,-7.4,2017,-7,4738,-10,831,-8.7,3114,-10.7,793,-8.1
2026,1,3365,-11.1,16,-40.7,170,-6.1,1010,-8.1,2169,-12.5,5262,-16,910,-22.2,3489,-14.9,863,-12.9
2025,12,3786,3,27,68.8,181,13.8,1099,-6.5,2479,6.7,6263,6.7,1170,22.6,4102,5.1,991,-2.1
2025,11,3674,-7.9,16,-15.8,159,-18.9,1175,-12.5,2324,-4.4,5869,-10.2,954,-16.4,3903,-8.7,1012,-9.3
2025,10,3989,-4.8,19,-24,196,24.1,1343,-1.3,2431,-8.1,6534,-4.4,1141,0.6,4277,-5.6,1116,-4.5
2025,9,4189,0.9,25,-24.2,158,-4.8,1361,-3.2,2645,3.9,6834,2.4,1134,12.3,4532,5.3,1168,-14.1
2025,8,4150,-4.7,33,13.8,166,-13.5,1406,-2.6,2545,-5.4,6673,-2.3,1010,-4.2,4304,-1.6,1359,-2.8
2025,7,4354,-1.5,29,-9.4,192,12.9,1443,2.5,2690,-4.3,6827,10.6,1054,11.9,4375,9.5,1398,13.4
2025,6,4422,1.9,32,45.5,170,-9.6,1408,-1,2812,3.9,6172,-4.1,942,-12.5,3997,-3.1,1233,-0.2
2025,5,4338,8.9,22,-29,188,11.9,1422,16.8,2706,5.4,6437,5.4,1076,2.4,4126,7.2,1235,2.4
2025,4,3984,6.6,31,63.2,168,7.7,1217,9.7,2568,4.6,6105,1.1,1051,-3.9,3848,-1.1,1206,14.2
2025,3,3739,17,19,-17.4,156,-1.3,1109,13,2455,20.8,6041,19.7,1094,12.6,3891,20.4,1056,25.4
2025,2,3195,-5.8,23,-20.7,158,0.6,981,-10.9,2033,-3.4,5045,-8.8,972,-17.6,3231,-6.3,842,-6.9
2025,1,3391,-4.5,29,20.8,157,10.6,1101,-4.8,2104,-5.7,5531,-0.1,1179,9.6,3448,-2.8,904,-0.9
2024,12,3552,-5.8,24,-31.4,142,-13.9,1156,-11.1,2230,-1.8,5536,-6.3,1076,29.8,3548,-9.6,912,-20.8
2024,11,3771,-7.9,35,12.9,165,-4.1,1301,-11.5,2270,-6.3,5907,-9.4,829,-25.8,3926,-4.8,1152,-9.9
2024,10,4096,-1.6,31,-6.1,172,-5,1470,7,2423,-5.9,6520,-1.6,1118,0.5,4124,-2.3,1278,-0.9
2024,9,4164,-1.5,33,65,181,40.3,1374,-7.5,2576,-0.7,6625,-4.8,1112,-6,4223,-2.9,1290,-9.7
2024,8,4228,-6.2,20,-60,129,-9.8,1486,-2.7,2593,-7,6960,1.1,1183,7.4,4349,-1.3,1428,3.7
